Was ist die Hauptstadt von Deutschland?;Geografie
Kupfer;false
Wer schrieb das Buch 'Die Verwandlung'?;Literatur
Franz Kafka;true
Fyodor Dostoyevsky;false
Leo Tolstoy;false
James Joyce;false
Was ist die Hauptfunktion in vielen Programmiersprachen?;Programmieren
main();true
start();false
haupt();false
begin();false
Was ist die Bedeutung von 'IDE' in der Softwareentwicklung?;Programmieren
Integrierte Entwicklungsumgebung;true
Interaktive Datenübertragung;false
Initialisierung und Deklaration;false
Intrinsische Datenerweiterung;false
Was ist ein 'Array' in der Programmierung?;Programmieren
Eine Datenstruktur zur Speicherung mehrerer Elemente desselben Datentyps;true
Ein Befehl zum Beenden des Programms;false
Ein spezieller Operator zum Vergleich von Werten;false
Ein Algorithmus zur Sortierung von Daten;false
Was ist ein 'Compiler'?;Programmieren
Ein Programm, das Quellcode in Maschinencode übersetzt;true
Ein Werkzeug zum Testen von Software;false
Eine Datenbank für Programmiersprachen;false
Ein Algorithmus zur Datenkompression;false
Welche Programmiersprache wird häufig für die Webentwicklung verwendet?;Programmieren
JavaScript;true
Python;false
C++;false
Java;false
Was ist eine 'Klasse' in der objektorientierten Programmierung?;Programmieren
Eine Bauplan für Objekte, der Attribute und Methoden definiert;true
Eine Sammlung von Variablen;false
Ein spezieller Datentyp für ganze Zahlen;false
Eine Anweisung zum Starten des Programms;false
Was ist 'Version Control' in der Softwareentwicklung?;Programmieren
Ein System zur Verwaltung von Änderungen im Quellcode;true
Eine Methode zur Fehlerbehebung;false
Ein Prozess zur Verbesserung der Benutzeroberfläche;false
Eine Technik zur Code-Optimierung;false
Was ist eine 'Schleife' in der Programmierung?;Programmieren
Ein Kontrollstrukturelement zur Wiederholung von Anweisungen;true
Eine Methode zur Datenübertragung;false
Ein Operator zur Addition von Zahlen;false
Eine Funktion zum Vergleich von Zeichenketten;false
Was ist 'Debugging'?;Programmieren
Der Prozess des Auffindens und Behebens von Fehlern im Quellcode;true
Ein Algorithmus zur Datenverschlüsselung;false
Eine Methode zur Code-Optimierung;false
Ein Werkzeug zum Testen von Software;false
Was ist eine 'Variable' in der Programmierung?;Programmieren
Ein Speicherbereich für Daten, der einen Namen hat;true
Ein Algorithmus zur Sortierung von Zahlen;false
Eine Funktion zur Zeichenkettenmanipulation;false
Ein Operator zur Multiplikation von Werten;false
Wie lautet die Landeshauptstadt von Niedersachsen?;Geografie
Hannover;true
Braunschweig;false
Osnabrück;false
Göttingen;false
Wer hat die Fußball-WM 2014 gewonnen?;Sport
Deutschland;true
Frankreich;false
England;false
Brasilien;false
Was ist kein Hund aus Paw Patrol?;Unterhaltung
Sky;false
Marshall;false
Rubble;false
Rex;true
